Suburb,SSC_Code,Area,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
ABBEYWOOD,30001,35.0348,9,8,23,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,7,0,3,3,0,0,0,0,0,0,9,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,3,0,3,8,9,15,0,0,0,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,8,0,0,0,0,0,3,0,0,0,9,9,18,0,0,0
ABBOTSFORD,30002,85.7638,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,3
ABERCORN,30003,94.2732,18,24,46,0,0,3,0,6,9,3,3,5,0,0,0,0,0,3,3,3,9,8,7,13,3,0,4,0,3,3,0,0,0,0,0,0,17,24,40,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,21,32,0,0,0,17,20,32,0,0,0,17,20,32,0,0,0,0,3,7,0,3,3,0,0,0,0,0,0,0,6,14,0,0,0,8,5,10,4,0,4,0,0,0,0,0,0,13,20,34,9,11,16
ABERGOWRIE,30004,306.2652,303,136,438,3,3,5,96,9,106,69,8,76,9,7,10,11,14,21,11,13,29,31,27,56,33,22,56,24,13,35,13,17,33,4,3,9,281,129,409,20,5,27,83,0,83,35,0,35,9,0,16,129,0,135,271,118,384,15,10,32,213,121,335,72,8,81,278,122,401,0,0,0,94,9,100,50,5,60,0,0,0,0,0,0,62,53,111,36,3,38,63,47,111,10,4,11,14,8,20,0,0,0,153,133,289,183,5,186
ABINGDON DOWNS,30005,5052.028200000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABINGTON,30006,19.5648,31,31,60,0,0,3,0,3,4,3,3,7,3,0,3,0,0,0,0,0,0,4,8,12,7,8,12,5,0,11,0,5,3,0,0,0,26,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,38,3,8,15,26,28,51,0,0,0,28,25,51,0,0,0,0,3,4,3,3,7,0,0,0,0,0,0,6,4,11,3,4,13,9,12,18,3,3,7,0,0,0,0,0,0,24,25,56,0,0,3
ACACIA RIDGE,30007,8.664100000000001,3726,3703,7429,303,269,574,468,436,906,267,205,476,300,304,602,658,602,1257,476,460,934,438,465,900,341,380,726,264,316,575,166,174,342,48,84,135,3560,3534,7100,163,170,330,130,139,275,14,8,18,15,20,34,161,168,329,2063,2052,4114,1347,1334,2676,2244,2185,4427,1198,1235,2428,2762,2817,5574,43,32,77,398,375,774,159,151,315,92,94,186,148,240,389,1375,1422,2804,245,162,406,561,581,1140,167,170,333,230,258,492,67,96,164,3431,3369,6805,287,283,571
ACLAND,30008,38.179300000000005,15,15,32,0,0,0,8,0,5,0,3,3,0,0,3,0,0,0,0,3,3,3,3,11,0,0,0,0,3,3,0,0,0,0,0,0,15,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,0,4,4,11,10,19,0,0,0,11,10,19,0,0,0,6,0,5,0,3,3,0,0,0,0,0,0,3,5,9,0,3,0,0,0,5,0,3,3,0,0,3,0,0,0,10,18,31,7,9,13
ADARE,30009,39.049299999999995,468,412,873,21,23,47,86,68,156,46,28,73,24,23,49,60,51,112,57,72,127,72,55,126,49,52,96,45,27,72,8,11,18,3,0,3,430,395,832,37,13,44,18,13,34,0,0,0,0,0,0,18,15,33,381,337,719,37,36,76,406,366,773,14,13,26,398,361,765,5,4,7,74,69,140,26,13,37,0,12,10,15,19,33,123,118,241,26,29,51,116,102,214,29,25,51,20,16,42,0,0,0,417,379,802,35,26,64
ADAVALE,30010,21354.757100000003,58,34,93,0,0,0,9,4,13,5,0,3,6,0,4,4,0,6,5,8,9,10,12,21,11,3,10,4,0,13,5,0,4,0,0,3,46,31,83,5,3,14,3,0,3,0,0,0,0,0,0,3,0,3,50,32,83,0,0,5,54,36,90,0,0,0,54,31,85,0,0,0,7,4,11,0,0,3,0,0,4,0,5,5,15,17,33,3,0,7,15,4,22,6,3,9,4,0,3,0,0,0,56,28,87,5,3,8
