Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Other Animal,Unregistered,MORNINGSIDE,2018-05-01
Animal,Other Animal,Fox,GUMDALE,2018-05-01
Animal,Cat,,CARSELDINE,2018-05-01
Animal,Dog,Fencing Issues,ZILLMERE,2018-05-01
Animal,Dog,Odour,CAMP HILL,2018-05-01
Animal,Dog,,ELLEN GROVE,2018-05-01
Animal,Attack,Attack On An Animal,ALGESTER,2018-05-01
Animal,Attack,Attack On An Animal,FIG TREE POCKET,2018-05-01
Animal,Other Animal,Fox,GUMDALE,2018-05-01
Animal,Attack,Attack On An Animal,CLAYFIELD,2018-05-01
Animal,Other Animal,Wild Dog,MOGGILL,2018-05-01
Animal,Dog,Fencing Issues,TOOWONG,2018-05-01
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST,2018-05-01
Animal,Dog,Unregistered,WYNNUM,2018-05-01
Animal,Attack,Not An Attack,MOUNT GRAVATT EAST,2018-05-01
Animal,Attack,Menacing,SUNNYBANK HILLS,2018-05-01
Animal,Attack,Not An Attack,WYNNUM,2018-05-01
Animal,Dog,Fencing Issues,NEWMARKET,2018-05-01
Animal,Dog,Fencing Issues,WINDSOR,2018-05-01
Animal,Other Animal,Fox,PINJARRA HILLS,2018-05-01
Animal,Dog,,HOLLAND PARK WEST,2018-05-01
Animal,Dog,Fencing Issues,DARRA,2018-05-01
Animal,Attack,,WYNNUM,2018-05-01
Animal,Other Animal,Nuisance Animal,TENERIFFE,2018-05-01
Animal,Cat,,MOUNT GRAVATT EAST,2018-05-01
Animal,Dog,Fencing Issues,EVERTON PARK,2018-05-01
Animal,Dog,Fencing Issues,ELLEN GROVE,2018-05-01
Animal,Other Animal,Deer,KENMORE HILLS,2018-05-01
Animal,Cat,,CLAYFIELD,2018-05-01
Animal,Cat,,BRACKEN RIDGE,2018-05-01
Animal,Attack,Attack On An Animal,SALISBURY,2018-05-01
Animal,Other Animal,Wild Dog,THE GAP,2018-05-01
Animal,Cat Trapping,,BOONDALL,2018-05-01
Animal,Dog,Fencing Issues,WOOLOOWIN,2018-05-01
Animal,Attack,Attack On An Animal,FERNY GROVE,2018-05-01
Animal,Dog,Fencing Issues,KARANA DOWNS,2018-05-01
